mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0017476081848144531,0.0004339378479730451,0.02593073844909668,0.0038496296539328873,brute,5,1,distance,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6886075949367089,0.714527027027027,0.6967905405405406,0.700168918918919,0.6883445945945946,0.697687735203558,0.009594438010776701,11
0.001329660415649414,0.0005965136604234003,0.013088130950927734,0.0018402592737298753,brute,5,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6776371308016877,0.6908783783783784,0.6613175675675675,0.6722972972972973,0.6638513513513513,0.6731963450792564,0.010598277494808723,52
0.0014193058013916016,0.0005042165939774773,0.015069961547851562,0.0018656572546384299,brute,5,2,distance,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6776371308016877,0.7069256756756757,0.6807432432432432,0.6984797297297297,0.6765202702702703,0.6880612099441213,0.012327375819844626,21
0.0011220932006835937,0.0005085612950903252,0.03062901496887207,0.005521063994889615,brute,7,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6810126582278481,0.6942567567567568,0.6883445945945946,0.6680743243243243,0.6976351351351351,0.6858646938077317,0.010537166726587725,33
0.0011106967926025391,0.00023282921830694697,0.02447981834411621,0.0037907223450201737,brute,7,1,distance,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6928270042194092,0.7111486486486487,0.691722972972973,0.6951013513513513,0.700168918918919,0.6981937792222602,0.007098824357031329,9
0.0012231826782226562,0.00038880974396521094,0.014751625061035157,0.0027627531204246396,brute,7,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.6666666666666666,0.6765202702702703,0.674831081081081,0.674831081081081,0.6756756756756757,0.673704954954955,0.003574452758581963,49
0.001524496078491211,0.0004589855110139815,0.015568208694458009,0.0022510936833881057,brute,7,2,distance,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.6751054852320675,0.7010135135135135,0.6925675675675675,0.7018581081081081,0.6883445945945946,0.6917778538031703,0.009770237740517053,13
0.0015379905700683594,0.0004572410729654599,0.03631701469421387,0.007634461330642463,brute,9,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6725738396624472,0.6891891891891891,0.6706081081081081,0.6765202702702703,0.6866554054054054,0.679109362527084,0.007486433772954789,44
0.0015196800231933594,0.00044188342768723855,0.02879490852355957,0.003827643466867676,brute,9,1,distance,"{'algorithm': 'brute', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.6919831223628692,0.7077702702702703,0.6900337837837838,0.6984797297297297,0.700168918918919,0.6976871650131143,0.006317699260065666,12
0.0013069629669189454,0.00040481055089668913,0.016203975677490233,0.001855439114098661,brute,9,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.6632911392405063,0.6655405405405406,0.6554054054054054,0.6587837837837838,0.6570945945945946,0.6600230927129662,0.0038093931946659855,64
0.002178812026977539,0.0005888375861552974,0.017963361740112305,0.002020944840606578,brute,9,2,distance,"{'algorithm': 'brute', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.6860759493670886,0.6942567567567568,0.6815878378378378,0.6925675675675675,0.6841216216216216,0.6877219466301744,0.004888409219631764,22
